2021-09-01 23:11:55.902640 >>> 크롤링 걸린시간: 1.4531145095825195 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:23:05.248834 >>> 크롤링 걸린시간: 1.963839054107666 | 크롤링 갯수: 8 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:25:33.283623 >>> 크롤링 걸린시간: 1.9195494651794434 | 크롤링 갯수: 114 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:28:36.424225 >>> 크롤링 걸린시간: 2.776920795440674 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:29:48.549478 >>> 크롤링 걸린시간: 3.058825731277466 | 크롤링 갯수: 114 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:30:33.800056 >>> 크롤링 걸린시간: 2.542179584503174 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:31:14.223727 >>> 크롤링 걸린시간: 1.3546175956726074 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:31:29.223923 >>> 크롤링 걸린시간: 1.3949885368347168 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:33:09.303355 >>> 크롤링 걸린시간: 1.6399927139282227 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:33:21.225202 >>> 크롤링 걸린시간: 1.7013139724731445 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:33:34.946084 >>> 크롤링 걸린시간: 1.7860057353973389 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:33:49.498466 >>> 크롤링 걸린시간: 1.8477048873901367 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:34:06.593220 >>> 크롤링 걸린시간: 1.8542201519012451 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:34:16.949894 >>> 크롤링 걸린시간: 1.8006274700164795 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:35:06.040574 >>> 크롤링 걸린시간: 2.098060369491577 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:35:14.580782 >>> 크롤링 걸린시간: 2.1218442916870117 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:35:22.675950 >>> 크롤링 걸린시간: 2.1492669582366943 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:35:31.120944 >>> 크롤링 걸린시간: 2.124728202819824 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:35:51.250702 >>> 크롤링 걸린시간: 2.1031463146209717 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:35:59.064652 >>> 크롤링 걸린시간: 2.1490089893341064 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:36:10.117037 >>> 크롤링 걸린시간: 2.1302435398101807 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:37:03.494408 >>> 크롤링 걸린시간: 2.819836139678955 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:37:25.029869 >>> 크롤링 걸린시간: 2.9264166355133057 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:43:13.361703 >>> 크롤링 걸린시간: 2.946455955505371 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:43:22.718484 >>> 크롤링 걸린시간: 2.785071611404419 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:44:46.843830 >>> 크롤링 걸린시간: 2.879511833190918 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:45:09.313869 >>> 크롤링 걸린시간: 3.016834259033203 | 크롤링 갯수: 88 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:47:43.978145 >>> 크롤링 걸린시간: 3.0782570838928223 | 크롤링 갯수: 0 | 크롤링 결과 위치: ../json/sample.json
2021-09-01 23:47:58.927361 >>> 크롤링 걸린시간: 3.055471420288086 | 크롤링 갯수: 0 | 크롤링 결과 위치: ../json/sample.json
